,Title,Brands,Ratings,Number of Rating,Price,Return Policy,Delivery,Availability,Others,Product URL
33,Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications (Author),4.6 out of 5,"2,094 ratings",₹ 175.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/Refreshing-Mandala-Colouring-Book-Adults/dp/9350897601/ref=sr_1_24?dchild=1&keywords=book&qid=1614219001&sr=8-24
34,"William Shakespeare (Set of 7 Books) - Othello, Romeo and Juliet, Hamlet, Macbeth, the Merchant of Venice, A Midsummer Night's Dream, Julius Caesar",William Shakespeare (Author),4.8 out of 5,25 ratings,₹ 473.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 34 mins Details",In stock.,-,https://www.amazon.in/William-Shakespeare-Set-Books-Midsummer/dp/9389643597/ref=sr_1_25?dchild=1&keywords=book&qid=1614219001&sr=8-25
35,Amazon Brand - Solimo Board Books for Kids (Set of 10),Solimo (Author),4.5 out of 5,"2,303 ratings",-,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",,-,https://www.amazon.in/Amazon-Brand-Solimo-Board-Books/dp/B07BF3T95C/ref=sr_1_26_mod_primary_lightning_deal?dchild=1&keywords=book&qid=1614219001&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&smid=AT95IG9ONZD7S&sr=8-26
36,Little Black Book for Stunning Success,Robin Sharma (Author),4.4 out of 5,219 ratings,₹ 218.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A06116182UI04R5MQBZ4N&url=%2FLittle-Stunning-Success-Action-Mastery%2Fdp%2F8184959893%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-27-spons%26psc%3D1&qualifier=1614219889&id=2148769732196408&widgetName=sp_mtf
37,Think & Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill (Author),4.3 out of 5,107 ratings,₹ 140.00,10 Days Replacement Only,"Delivery By: March 3 - 6 Details
Fastest delivery: Feb 27 - March 3 Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0849513RRFV8DJR4P98&url=%2FThink-Grow-Rich-21st-CENTURY%2Fdp%2F9389931525%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-28-spons%26psc%3D1&qualifier=1614219889&id=2148769732196408&widgetName=sp_mtf
38,Harry Potter and the Philosopher's Stone,J.K. Rowling (Author),4.7 out of 5,"22,913 ratings",₹ 249.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658/ref=sr_1_29?dchild=1&keywords=book&qid=1614219001&sr=8-29
39,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids",Maple Press (Author),4.1 out of 5,42 ratings,₹ 191.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 11 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=sr_1_30?dchild=1&keywords=book&qid=1614219001&sr=8-30
40,Picture Books Collection for Early Learning (Set of 12),E C Axus (Author),4.2 out of 5,"3,672 ratings",-,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 34 mins Details",,-,https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P/ref=sr_1_31_mod_primary_lightning_deal?dchild=1&keywords=book&qid=1614219001&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&smid=A3AYVXJSQ9BMLM&sr=8-31
41,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson (Author),4.4 out of 5,"40,937 ratings",₹ 249.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549/ref=sr_1_32?dchild=1&keywords=book&qid=1614219001&sr=8-32
42,-,-,-,-,-,-,-,-,-,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.4eaaa1d0-2f1b-5737-b107-8e75fb9d6317%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B07QWCFW5D&ref=sr_1_33&keywords=book&qid=1614219001&sr=8-33
43,How to Prepare for Quantitative Aptitude for the CAT,Arun Sharma (Author),4.5 out of 5,"1,674 ratings",₹ 565.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 4 mins Details",In stock.,-,https://www.amazon.in/How-Prepare-Quantitative-Aptitude-CAT/dp/9353160189/ref=sr_1_34?dchild=1&keywords=book&qid=1614219001&sr=8-34
44,101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team (Author),4.5 out of 5,179 ratings,₹ 125.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 3 mins Details",In stock.,-,https://www.amazon.in/101-Panchatantra-Stories-Children-Illustrated/dp/935376517X/ref=sr_1_35?dchild=1&keywords=book&qid=1614219001&sr=8-35
45,My First English Hindi Learning Library: Boxset of 10 Board Books for Kids,Wonder House Books (Author),4.4 out of 5,180 ratings,₹ 499.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 33 mins Details",In stock.,-,https://www.amazon.in/First-English-Hindi-Learning-Library/dp/938917841X/ref=sr_1_36?dchild=1&keywords=book&qid=1614219001&sr=8-36
46,The Leader Who Had No Title,Robin Sharma (Author),4.5 out of 5,"1,475 ratings",₹ 156.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 3 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A08411712M2UQX41CMWWJ&url=%2FLeader-Who-Had-No-Title%2Fdp%2F8184951191%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-37-spons%26psc%3D1&qualifier=1614219889&id=2148769732196408&widgetName=sp_btf
47,100 World’s Greatest Love Poems,Various (Author),4.4 out of 5,61 ratings,₹ 199.00,10 Days Replacement Only,"Delivery by: Sunday, Feb 28 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 18 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0449675369H57B0NZQI8&url=%2F100-Worlds-Greatest-Love-Poems%2Fdp%2F9387779645%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-38-spons%26psc%3D1&qualifier=1614219889&id=2148769732196408&widgetName=sp_btf
48,"100 Selected Poems, John Keats: Collectable Hardbound edition",John Keats (Author),4.7 out of 5,108 ratings,₹ 269.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 33 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A05341452V9JEJ70VQM9X&url=%2F100-Selected-Poems-John-Keats%2Fdp%2F9389178479%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-33-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1614219978&id=6411226927280102&widgetName=sp_atf_next
49,"Make Your Own Luck: How to Increase Your Odds of Success in Sales, Startups, Corporate Career and Life",Bob Miglani & Rehan Yar Khan (Author),4.4 out of 5,112 ratings,₹ 199.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 33 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A008905161ARJ4Y5OK59&url=%2FMake-Your-Own-Luck-Corporate%2Fdp%2F9389178452%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-34-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1614219978&id=6411226927280102&widgetName=sp_atf_next
50,Jolly Kids My First Book of Phonics Words Key to Letter Sound Relationship| Learning the Letter Sounds| Blending| Word Formatting| Sight Words| Phonic Activity Book for Kindergarten Ages 3-7 Years,Jolly Kids (Author),4.8 out of 5,6 ratings,₹ 275.00,10 Days Replacement Only,"Delivery by: Sunday, Feb 28 Details
Fastest delivery: Tomorrow
Order within 6 hrs and 3 mins Details",In stock.,-,https://www.amazon.in/Relationship-Learning-Blending-Formatting-Kindergarten/dp/938705411X/ref=sr_1_35?dchild=1&keywords=book&qid=1614219001&sr=8-35
51,Very First Sight Words Sentences Level - 1,Dreamland Publications (Author),4.6 out of 5,"1,414 ratings",₹ 126.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 33 mins Details",In stock.,-,https://www.amazon.in/First-Sight-Words-Sentences-Level/dp/9387971996/ref=sr_1_36?dchild=1&keywords=book&qid=1614219001&sr=8-36
52,Chikitsa Guide For General Medical Practitioners,"Kailash Banjara (Author),",4.1 out of 5,5 ratings,₹ 385.00,10 Days Replacement Only,Delivery By: Feb 27 - March 3 Details,In stock.,-,https://www.amazon.in/Chikitsa-Guide-General-Medical-Practitioners/dp/9385053183/ref=sr_1_37?dchild=1&keywords=book&qid=1614219001&sr=8-37
53,Brilliant Brain Activity Book 4+,Dreamland Publications (Author),4.6 out of 5,262 ratings,₹ 154.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 33 mins Details",In stock.,-,https://www.amazon.in/Brilliant-Brain-Activity-Book-4/dp/9389281024/ref=sr_1_38?dchild=1&keywords=book&qid=1614219001&sr=8-38
54,-,-,-,-,-,-,-,-,-,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.bab0cfdf-85b0-5f73-c0e2-dc6a1debbaba%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B07MG8YF7P&ref=sr_1_39&keywords=book&qid=1614219001&sr=8-39
55,Amazon Brand - Solimo Maths Activity Book For 3-5 Year Old Kids,Solimo (Author),4.6 out of 5,3 ratings,₹ 190.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 33 mins Details",In stock.,-,https://www.amazon.in/Amazon-Brand-Solimo-Maths-Activity/dp/B08KB72TQJ/ref=sr_1_40?dchild=1&keywords=book&qid=1614219001&sr=8-40
56,Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books (Author),4.6 out of 5,597 ratings,₹ 129.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 1 hr and 48 mins Details",In stock.,-,https://www.amazon.in/Mandala-Colouring-Books-Adults-Sheets/dp/938653861X/ref=sr_1_41?dchild=1&keywords=book&qid=1614219001&sr=8-41
57,Grandma's Bag of Stories,Sudha Murty (Author),4.6 out of 5,"3,081 ratings",₹ 189.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 33 mins Details",In stock.,-,https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623/ref=sr_1_42?dchild=1&keywords=book&qid=1614219001&sr=8-42
58,Mind is your Business / Body the Greatest Gadget (2 titles in single Book),Sadhguru (Author),4.6 out of 5,"1,406 ratings",₹ 142.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 2 hrs and 33 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A03084681430ODKVAB6CG&url=%2FMind-Business-Greatest-Gadget-Books%2Fdp%2F8184956959%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-43-spons%26psc%3D1&qualifier=1614219978&id=6411226927280102&widgetName=sp_mtf
59,My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books (Author),4.5 out of 5,"2,652 ratings",₹ 799.00,Pay on Delivery,"Delivery by: Monday, March 1 Details
Fastest delivery: Tomorrow
Order within 7 hrs and 57 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A04657193LQC18MHXRD0J&url=%2FFirst-Learning-Library-Box-Set%2Fdp%2F9388369882%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-44-spons%26psc%3D1&qualifier=1614219978&id=6411226927280102&widgetName=sp_mtf
60,The Illustrated Stories Of Akbar and Birbal: Classic Tales From India,Wonder House Books (Author),4.6 out of 5,242 ratings,₹ 159.00,10 Days Replacement Only,Delivery by: March 1 - 5 Details,"In stock on February 27, 2021.
Order it now.",-,https://www.amazon.in/Illustrated-Stories-Akbar-Birbal-Classic/dp/9389567831/ref=sr_1_45?dchild=1&keywords=book&qid=1614219001&sr=8-45
61,Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das (Author),4.6 out of 5,"5,331 ratings",₹ 183.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 32 mins Details",In stock.,-,https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=sr_1_46?dchild=1&keywords=book&qid=1614219001&sr=8-46
62,All set to Read-A Phonic Reader-Level 1- PHONICS READERS- 6 books in a Box: Box set,Om Books Editorial Team (Author),4.4 out of 5,67 ratings,₹ 485.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 2 mins Details",In stock.,-,https://www.amazon.in/PHONIC-READER-LEVEL-1/dp/9384625760/ref=sr_1_47?dchild=1&keywords=book&qid=1614219001&sr=8-47
63,The PCOD - Thyroid Book - Compiled From Women and the Weight Loss Tamasha,Rujuta Diwekar (Author),4.3 out of 5,"1,052 ratings",₹ 224.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 32 mins Details",In stock.,-,https://www.amazon.in/PCOD-Thyroid-Compiled-Weight-Tamasha/dp/938572441X/ref=sr_1_48?dchild=1&keywords=book&qid=1614219001&sr=8-48
64,-,-,-,-,-,-,-,-,-,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.5aadb72d-5b48-616a-4ddb-772a33540563%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B07MHXJ373&ref=sr_1_49&keywords=book&qid=1614219001&sr=8-49
65,"Swami Vivekanand (Set of 4 Books) (Hindi) - Karmyog, Rajyog, Gyanyog, Bhaktiyog",Swami Vivekanand (Author),4.7 out of 5,109 ratings,₹ 356.00,Pay on Delivery,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 2 mins Details",In stock.,-,https://www.amazon.in/Swami-Vivekanand-Set-Books-Hindi/dp/9389643007/ref=sr_1_50?dchild=1&keywords=book&qid=1614219001&sr=8-50
66,101 Maze Activity Book: Fun Activity Book For Children,Wonder House Books Editorial (Author),4.3 out of 5,327 ratings,₹ 129.00,10 Days Replacement Only,"Delivery by: Sunday, Feb 28 Details
Fastest delivery: Saturday, Feb 27
Order within 6 hrs and 32 mins Details",In stock.,-,https://www.amazon.in/101-Maze-Activity-Book-Children/dp/9388369947/ref=sr_1_51?dchild=1&keywords=book&qid=1614219001&sr=8-51
67,The Blue Umbrella,Ruskin Bond (Author),4.5 out of 5,"2,964 ratings",₹ 76.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 15 hrs and 32 mins Details",In stock.,-,https://www.amazon.in/Blue-Umbrella-Ruskin-Bond/dp/8171673406/ref=sr_1_52?dchild=1&keywords=book&qid=1614219001&sr=8-52
68,"The Midnight Mayor: 2 (Matthew Swift, 2)",Kate Griffin (Author),4.2 out of 5,86 ratings,₹ 266.00,10 Days Replacement Only,"Delivery By: Wednesday, March 3 Details",Only 1 left in stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0734951TQ4HLK33IJRP&url=%2FMidnight-Mayor-Matthew-Swift%2Fdp%2F0316079901%2Fref%3Dsr_1_53_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-53-spons%26psc%3D1&qualifier=1614219978&id=6411226927280102&widgetName=sp_btf
69,How To Raise Your Own Salary,Napoleon Hill (Author),4.7 out of 5,291 ratings,₹ 119.00,10 Days Replacement Only,"Delivery by: Saturday, Feb 27 Details
Fastest delivery: Tomorrow
Order within 16 hrs and 2 mins Details",In stock.,-,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A07048833NBMAG5YI3FIT&url=%2FHow-Raise-Your-Own-Salary%2Fdp%2F9389931185%2Fref%3Dsr_1_54_sspa%3Fdchild%3D1%26keywords%3Dbook%26qid%3D1614219001%26sr%3D8-54-spons%26psc%3D1&qualifier=1614219978&id=6411226927280102&widgetName=sp_btf
